City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Escondido,MX,81.43,clear sky,15.85,-97.0667,
7,Vaini,TO,84.36,few clouds,-21.2,-175.2,
16,Hadejia,NG,75.0,clear sky,12.4498,10.0444,
17,Hambantota,LK,80.56,broken clouds,6.1241,81.1185,
21,Beira,MZ,76.84,light rain,-19.8436,34.8389,
23,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,
27,Canton,CN,80.01,overcast clouds,23.1167,113.25,
33,Caucaia,BR,82.35,few clouds,-3.7361,-38.6531,
34,Kupang,ID,88.38,few clouds,-10.1667,123.5833,
37,Ternate,ID,86.2,scattered clouds,0.8,127.4,
39,Atuona,PF,78.1,clear sky,-9.8,-139.0333,
42,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,
43,Georgetown,MY,84.13,few clouds,5.4112,100.3354,
46,Bengkulu,ID,81.52,overcast clouds,-3.8004,102.2655,
54,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,
57,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,
58,Kirakira,SB,83.55,scattered clouds,-10.4544,161.9205,
61,Airai,TL,75.18,overcast clouds,-8.9266,125.4092,
64,Paratinga,BR,76.57,broken clouds,-12.6906,-43.1842,
66,Panguna,PG,81.18,overcast clouds,-6.3164,155.4848,
67,Tiarei,PF,86.02,clear sky,-17.5333,-149.3333,
69,Cabo San Lucas,MX,75.06,clear sky,22.8909,-109.9124,
77,Faanui,PF,80.42,light rain,-16.4833,-151.75,
79,Katobu,ID,87.85,broken clouds,-4.9408,122.5276,
80,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,
81,Arlit,NE,77.02,overcast clouds,18.7369,7.3853,
83,Mahajanga,MG,75.22,light rain,-15.7167,46.3167,
85,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,
93,Kavieng,PG,83.77,light rain,-2.5744,150.7967,
101,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,
106,Yulara,AU,89.44,broken clouds,-25.2406,130.9889,
111,Katiola,CI,75.63,clear sky,8.1333,-5.1,
116,Lazaro Cardenas,MX,77.45,clear sky,17.9583,-102.2,
118,Caravelas,BR,76.91,broken clouds,-17.7125,-39.2481,
125,Bubaque,GW,84.0,scattered clouds,11.2833,-15.8333,
132,Souillac,MU,76.35,clear sky,-20.5167,57.5167,
137,Bilma,NE,77.94,overcast clouds,18.6853,12.9164,
145,Dwarka,IN,77.95,overcast clouds,22.2394,68.9678,
146,Butaritari,KI,82.24,overcast clouds,3.0707,172.7902,
147,Kahului,US,84.22,clear sky,20.8947,-156.47,
149,Moussoro,TD,79.54,clear sky,13.6408,16.4901,
152,Rockhampton,AU,84.09,broken clouds,-23.3833,150.5,
154,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,
155,Itarema,BR,80.94,overcast clouds,-2.9248,-39.9167,
159,Victoria,HK,78.96,scattered clouds,22.2855,114.1577,
166,Puerto Ayacucho,VE,79.5,overcast clouds,5.6639,-67.6236,
169,San Andres,CO,82.42,few clouds,12.5847,-81.7006,
173,Dhidhdhoo,MV,81.48,overcast clouds,6.8833,73.1,
185,Sao Filipe,CV,78.39,overcast clouds,14.8961,-24.4956,
187,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,
196,Port Antonio,JM,80.51,overcast clouds,18.18,-76.4612,
206,Kieta,PG,84.24,overcast clouds,-6.2167,155.6333,
208,Wewak,PG,83.01,overcast clouds,-3.5534,143.6268,
210,Axim,GH,78.55,broken clouds,4.8699,-2.2405,
216,Alofi,NU,84.09,few clouds,-19.0595,-169.9187,
218,Hilo,US,78.53,overcast clouds,19.7297,-155.09,
221,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,
223,Bathsheba,BB,79.02,scattered clouds,13.2167,-59.5167,
229,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,
231,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,
232,Srivardhan,IN,78.31,overcast clouds,18.0333,73.0167,
236,Kavaratti,IN,82.06,broken clouds,10.5669,72.642,
251,Merauke,ID,81.34,heavy intensity rain,-8.4667,140.3333,
255,Port Macquarie,AU,78.89,overcast clouds,-31.4333,152.9167,
272,Tabou,CI,79.47,few clouds,4.423,-7.3528,
273,Indramayu,ID,82.33,overcast clouds,-6.3264,108.32,
277,Araceli,PH,82.56,moderate rain,10.5529,119.9913,
278,Nioro,GM,77.74,overcast clouds,13.35,-15.75,
281,Pak Phanang,TH,86.02,overcast clouds,8.3511,100.202,
284,Atar,MR,77.45,overcast clouds,20.5169,-13.0499,
287,Tarrafal,CV,77.79,overcast clouds,15.2833,-23.7667,
292,Lahaina,US,84.2,few clouds,20.8783,-156.6825,
295,Chake Chake,TZ,76.32,broken clouds,-5.2459,39.7666,
296,Madang,PG,83.48,overcast clouds,-5.2246,145.7966,
301,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,
302,Labuhan,ID,77.2,moderate rain,-6.8844,112.2051,
306,Porto Nacional,BR,80.6,overcast clouds,-10.7081,-48.4172,
310,Vila Velha,BR,75.15,light intensity drizzle,-20.3297,-40.2925,
311,Antsohihy,MG,76.23,overcast clouds,-14.8796,47.9875,
316,La Orilla,MX,76.75,clear sky,17.9833,-102.2333,
320,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,
324,Mackay,AU,89.69,clear sky,-21.15,149.2,
331,Buluang,PH,83.19,broken clouds,13.3068,123.3425,
333,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,
336,Buala,SB,85.8,light rain,-8.145,159.5921,
338,Ko Samui,TH,85.91,few clouds,9.5357,99.9357,
342,Namatanai,PG,83.41,light rain,-3.6667,152.4333,
343,Balsas,BR,78.69,broken clouds,-7.5325,-46.0356,
352,Miri,MY,87.94,few clouds,4.4148,114.0089,
353,Port Blair,IN,78.84,drizzle,11.6667,92.75,
354,Kapit,MY,81.93,broken clouds,2.0167,112.9333,
355,Acarau,BR,81.05,broken clouds,-2.8856,-40.12,
356,Teknaf,BD,76.5,scattered clouds,20.8624,92.3058,
357,Trincomalee,LK,79.52,clear sky,8.5711,81.2335,
358,Mahibadhoo,MV,82.24,broken clouds,3.7833,72.9667,
361,Christchurch,NZ,75.4,overcast clouds,-43.5333,172.6333,
363,Dawei,MM,83.98,overcast clouds,14.0833,98.2,
375,Kokopo,PG,84.56,overcast clouds,-4.352,152.2633,
377,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,
385,Santa Rosa,PH,88.11,overcast clouds,14.3122,121.1114,
390,Fare,PF,79.95,light rain,-16.7,-151.0167,
391,Bajil,YE,77.14,clear sky,15.0584,43.2851,
395,Alugan,PH,84.02,overcast clouds,12.2188,125.4808,
401,Bandarbeyla,SO,75.29,broken clouds,9.4942,50.8122,
403,Qiongshan,CN,78.78,broken clouds,20.0058,110.3542,
406,Geraldton,AU,88.21,clear sky,-28.7667,114.6,
407,Kintampo,GH,76.1,clear sky,8.0563,-1.7306,
408,Biak,ID,84.9,scattered clouds,-0.9131,122.8766,
413,Lorengau,PG,86.04,few clouds,-2.0226,147.2712,
418,General Roca,AR,79.2,clear sky,-39.0333,-67.5833,
427,Itaituba,BR,75.6,broken clouds,-4.2761,-55.9836,
428,Tutoia,BR,80.92,broken clouds,-2.7619,-42.2744,
432,Payo,ID,83.08,overcast clouds,-3.7508,103.6372,
438,Tumpat,MY,85.98,few clouds,6.1978,102.171,
446,Dogondoutchi,NE,79.88,broken clouds,13.6393,4.0287,
448,Banamba,ML,75.07,clear sky,13.55,-7.45,
453,Tiruvannamalai,IN,75.13,light rain,12.2167,79.0667,
454,Thanatpin,MM,82.58,scattered clouds,17.2119,96.3033,
460,Hervey Bay,AU,80.71,scattered clouds,-25.2986,152.8535,
463,Eydhafushi,MV,82.17,overcast clouds,5.1033,73.0708,
470,Pochutla,MX,79.65,overcast clouds,15.7432,-96.4661,
471,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,
473,Bintulu,MY,86.41,few clouds,3.1667,113.0333,
474,Cockburn Town,TC,80.83,scattered clouds,21.4612,-71.1419,
475,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,
476,Amahai,ID,86.56,overcast clouds,-3.3333,128.9167,
478,Takoradi,GH,79.5,scattered clouds,4.8845,-1.7554,
480,Gao,ML,76.26,clear sky,16.6362,1.637,
489,Blackwater,AU,87.62,clear sky,-23.5833,148.8833,
491,Mana,GF,78.3,overcast clouds,5.6592,-53.7767,
495,Tecoanapa,MX,78.73,clear sky,16.5167,-98.75,
497,Denpasar,ID,85.66,scattered clouds,-8.65,115.2167,
511,Ati,TD,79.25,clear sky,13.2154,18.3353,
512,Poum,NC,77.56,clear sky,-20.2333,164.0167,
516,Tual,ID,84.72,broken clouds,-5.6667,132.75,
519,Akyab,MM,77.9,scattered clouds,20.15,92.9,
521,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,
527,Pangkalanbuun,ID,77.74,overcast clouds,-2.6833,111.6167,
534,Dingle,PH,84.88,broken clouds,10.9995,122.6711,
539,Tabuk,PH,81.63,broken clouds,17.4189,121.4443,
541,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,
542,Coahuayana,MX,81.88,clear sky,18.7333,-103.6833,
544,Kothapet,IN,75.06,broken clouds,19.3333,79.4833,
552,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,
556,Mogadishu,SO,79.27,scattered clouds,2.0371,45.3438,
557,Apatzingan,MX,75.29,scattered clouds,19.0833,-102.35,
565,Panji,ID,77.61,moderate rain,-7.7253,114.0995,
566,Sri Aman,MY,82.45,few clouds,1.2376,111.4621,
569,Auki,SB,82.47,overcast clouds,-8.7676,160.7034,
586,Charters Towers,AU,89.1,clear sky,-20.1,146.2667,
