City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Punta Arenas,-53.15,-70.9167,44.71,76,40,39.12,CL,scattered clouds
1,Puerto Escondido,15.85,-97.0667,81.43,74,1,5.75,MX,clear sky
2,Kodiak,57.79,-152.4072,26.11,63,90,11.5,US,overcast clouds
3,Ponta Do Sol,32.6667,-17.1,63.72,64,3,5.3,PT,clear sky
4,Upernavik,72.7868,-56.1549,7.43,65,34,8.61,GL,scattered clouds
5,Jamestown,42.097,-79.2353,40.59,93,90,8.05,US,overcast clouds
6,Ushuaia,-54.8,-68.3,34.05,91,7,3.89,AR,clear sky
7,Vaini,-21.2,-175.2,84.36,79,20,9.22,TO,few clouds
8,Dingtao,35.0683,115.5625,55.15,70,86,9.31,CN,light rain
9,Tiksi,71.6872,128.8694,-13.11,97,97,6.24,RU,overcast clouds
10,Saldanha,-33.0117,17.9442,59.68,85,19,16.08,ZA,few clouds
11,Pacific Grove,36.6177,-121.9166,62.62,93,90,3.0,US,mist
12,Portland,45.5234,-122.6762,48.54,89,75,1.01,US,broken clouds
13,Saint Anthony,45.0205,-93.218,36.55,62,1,7.0,US,clear sky
14,Erenhot,43.6475,111.9767,26.33,62,100,5.95,CN,overcast clouds
15,Busselton,-33.65,115.3333,72.05,48,7,8.01,AU,clear sky
16,Hadejia,12.4498,10.0444,75.0,18,8,10.67,NG,clear sky
17,Hambantota,6.1241,81.1185,80.56,78,71,15.17,LK,broken clouds
18,Kolno,53.4115,21.9291,51.91,68,94,23.58,PL,overcast clouds
19,Qaanaaq,77.484,-69.3632,-4.14,72,81,7.99,GL,broken clouds
20,Longyearbyen,78.2186,15.6401,13.84,57,20,16.11,SJ,few clouds
21,Beira,-19.8436,34.8389,76.84,86,100,8.48,MZ,light rain
22,Port Alfred,-33.5906,26.891,61.56,75,65,3.06,ZA,broken clouds
23,Hithadhoo,-0.6,73.0833,82.38,76,94,21.61,MV,overcast clouds
24,Mataura,-46.1927,168.8643,60.57,70,99,4.03,NZ,overcast clouds
25,Sioux Lookout,50.1001,-91.917,28.78,80,100,9.33,CA,overcast clouds
26,Hobart,-42.8794,147.3294,62.02,76,75,1.01,AU,broken clouds
27,Canton,23.1167,113.25,80.01,62,96,7.45,CN,overcast clouds
28,Chany,55.3121,76.7647,16.72,93,100,12.66,RU,overcast clouds
29,Yellowknife,62.456,-114.3525,6.06,79,100,10.0,CA,overcast clouds
30,Puerto Ayora,-0.7393,-90.3518,68.56,90,37,5.01,EC,scattered clouds
31,Terney,45.0503,136.6092,35.08,53,20,4.0,RU,few clouds
32,Heishan,41.6892,122.1128,32.43,64,47,4.38,CN,scattered clouds
33,Caucaia,-3.7361,-38.6531,82.35,72,20,12.66,BR,few clouds
34,Kupang,-10.1667,123.5833,88.38,70,20,11.5,ID,few clouds
35,Sanchor,24.7553,71.7722,74.08,76,96,5.12,IN,overcast clouds
36,Cape Town,-33.9258,18.4232,62.28,68,0,14.45,ZA,clear sky
37,Ternate,0.8,127.4,86.2,65,38,1.59,ID,scattered clouds
38,Arraial Do Cabo,-22.9661,-42.0278,73.11,94,100,16.02,BR,overcast clouds
39,Atuona,-9.8,-139.0333,78.1,78,3,12.97,PF,clear sky
40,Port Elizabeth,-33.918,25.5701,59.07,82,60,3.22,ZA,light rain
41,Bara,10.3744,10.7288,74.73,24,20,6.58,NG,few clouds
42,Kapaa,22.0752,-159.319,82.72,71,40,1.01,US,scattered clouds
43,Georgetown,5.4112,100.3354,84.13,79,20,3.44,MY,few clouds
44,Mar Del Plata,-38.0023,-57.5575,58.08,92,0,7.0,AR,clear sky
45,Rikitea,-23.1203,-134.9692,73.76,65,25,9.42,PF,scattered clouds
46,Bengkulu,-3.8004,102.2655,81.52,70,100,4.03,ID,overcast clouds
47,Tasiilaq,65.6145,-37.6368,24.96,73,100,5.08,GL,overcast clouds
48,Pevek,69.7008,170.3133,-6.18,87,75,4.25,RU,broken clouds
49,Bestobe,52.4994,73.0975,14.74,72,46,20.62,KZ,scattered clouds
50,Korem,12.5058,39.5228,49.21,53,4,0.81,ET,clear sky
51,Bikaner,28.0167,73.3,64.36,19,0,7.14,IN,clear sky
52,Brae,60.3964,-1.353,48.11,80,100,16.42,GB,overcast clouds
53,Hamilton,39.1834,-84.5333,34.93,76,1,0.0,US,clear sky
54,Kloulklubed,7.0419,134.2556,86.5,73,25,10.25,PW,scattered clouds
55,Nikolskoye,59.7035,30.7861,35.87,97,100,6.4,RU,light rain
56,Hermanus,-34.4187,19.2345,57.79,86,27,11.92,ZA,scattered clouds
57,Avarua,-21.2078,-159.775,78.85,78,75,14.97,CK,broken clouds
58,Kirakira,-10.4544,161.9205,83.55,71,48,1.16,SB,scattered clouds
59,Arroyo,41.6096,-4.7969,43.59,86,0,8.05,ES,clear sky
60,New Norfolk,-42.7826,147.0587,61.66,74,84,4.7,AU,broken clouds
61,Airai,-8.9266,125.4092,75.18,62,96,2.1,TL,overcast clouds
62,Clyde River,70.4692,-68.5914,10.63,92,100,20.71,CA,light snow
63,Castro,-24.7911,-50.0119,59.61,92,90,9.8,BR,overcast clouds
64,Paratinga,-12.6906,-43.1842,76.57,68,82,3.24,BR,broken clouds
65,Puerto Madryn,-42.7692,-65.0385,71.71,38,8,11.9,AR,clear sky
66,Panguna,-6.3164,155.4848,81.18,52,91,3.2,PG,overcast clouds
67,Tiarei,-17.5333,-149.3333,86.02,73,7,19.1,PF,clear sky
68,Narsaq,60.9167,-46.05,28.62,76,100,13.18,GL,light snow
69,Cabo San Lucas,22.8909,-109.9124,75.06,72,1,3.0,MX,clear sky
70,Botesti,46.8,27.8833,45.5,81,100,5.39,RO,overcast clouds
