City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pionerskiy,54.9508,20.2275,40.84,83,21,9.53,RU,2021-11-16 21:37:13
1,Bredasdorp,-34.5322,20.0403,62.28,87,92,3.74,ZA,2021-11-16 21:37:13
2,Hermanus,-34.4187,19.2345,62.91,80,92,6.64,ZA,2021-11-16 21:37:13
3,Busselton,-33.65,115.3333,57.09,78,97,10.16,AU,2021-11-16 21:37:13
4,Bom Jesus Da Lapa,-13.255,-43.4181,76.19,68,99,7.65,BR,2021-11-16 21:37:14
5,Khatanga,71.9667,102.5,-34.02,100,25,3.22,RU,2021-11-16 21:37:14
6,Saint George,37.1041,-113.5841,75.67,23,1,1.01,US,2021-11-16 21:37:14
7,Japura,-0.3167,102.35,74.32,96,93,0.89,ID,2021-11-16 21:37:15
8,Solnechnyy,50.7214,136.6319,11.25,83,5,4.05,RU,2021-11-16 21:37:15
9,Cape Town,-33.9258,18.4232,65.26,68,0,9.22,ZA,2021-11-16 21:37:15
10,Nome,64.5011,-165.4064,3.16,71,1,0.0,US,2021-11-16 21:37:15
11,Mount Gambier,-37.8333,140.7667,48.11,87,100,4.61,AU,2021-11-16 21:37:16
12,Tual,-5.6667,132.75,82.94,73,99,10.11,ID,2021-11-16 21:37:16
13,Lipari,38.4674,14.954,59.22,66,100,15.26,IT,2021-11-16 21:37:16
14,Ostrov,57.3439,28.3537,31.73,93,100,5.7,RU,2021-11-16 21:37:17
15,Zhigalovo,54.8097,105.1578,15.24,98,96,4.41,RU,2021-11-16 21:37:17
16,Canon City,38.441,-105.2424,72.97,12,1,10.0,US,2021-11-16 21:37:17
17,Lompoc,34.6391,-120.4579,80.1,74,1,13.8,US,2021-11-16 21:32:34
18,Thunder Bay,48.4001,-89.3168,37.56,72,90,16.11,CA,2021-11-16 21:35:30
19,Istok,42.7808,20.4875,47.32,73,94,2.15,XK,2021-11-16 21:37:18
20,Vestmanna,62.1564,-7.1664,40.12,70,75,23.02,FO,2021-11-16 21:37:19
21,Albany,42.6001,-73.9662,41.18,77,88,7.49,US,2021-11-16 21:35:04
22,Airai,-8.9266,125.4092,60.75,62,98,2.33,TL,2021-11-16 21:37:19
23,Alyangula,-13.8483,136.4192,73.27,83,100,0.0,AU,2021-11-16 21:37:19
24,Acapulco,16.8634,-99.8901,84.02,70,40,5.75,MX,2021-11-16 21:37:20
25,Standerton,-26.9337,29.2415,69.62,54,79,6.64,ZA,2021-11-16 21:37:20
26,Kasongo-Lunda,-6.4667,16.8167,70.2,91,100,0.83,CD,2021-11-16 21:37:20
27,Kijang,35.2442,129.2139,40.73,40,0,4.32,KR,2021-11-16 21:37:21
28,Ushuaia,-54.8,-68.3,53.26,43,75,20.71,AR,2021-11-16 21:37:21
29,Rikitea,-23.1203,-134.9692,74.59,75,6,16.2,PF,2021-11-16 21:37:21
30,Camacha,33.0833,-16.3333,65.16,68,40,14.97,PT,2021-11-16 21:37:22
31,Vila Franca Do Campo,37.7167,-25.4333,65.19,76,38,11.88,PT,2021-11-16 21:37:22
32,Kavaratti,10.5669,72.642,81.95,74,73,14.58,IN,2021-11-16 21:37:22
33,Iwanai,42.9744,140.5089,42.28,62,100,12.84,JP,2021-11-16 21:37:22
34,Praia,14.9215,-23.5087,75.74,78,40,10.36,CV,2021-11-16 21:37:23
35,Kapaa,22.0752,-159.319,83.12,74,1,1.99,US,2021-11-16 21:37:23
36,Kushiro,42.975,144.3747,38.43,71,4,15.59,JP,2021-11-16 21:37:23
37,Kodiak,57.79,-152.4072,31.51,64,90,18.41,US,2021-11-16 21:37:24
38,Naze,28.3667,129.4833,64.04,67,98,11.25,JP,2021-11-16 21:37:24
